question,query,qsq_list_idx,question_idx,answer
Could you specify the angle formed by the b-axis and c-axis for the unit cell of MOFs 'HKUST-1'?,"MATCH (m:MOF) WHERE m.name CONTAINS 'HKUST-1' RETURN m.refcode, m.name, m.cell_angles",45,1,"[{""m.refcode"": ""DOTSOV42"", ""m.name"": ""HKUST-1"", ""m.cell_angles"": ""CellAngles(alpha=90.0, beta=90.0, gamma=90.0)""}, {""m.refcode"": ""FIQCEN"", ""m.name"": ""HKUST-1|Teaching Subset: MOFs"", ""m.cell_angles"": ""CellAngles(alpha=90.0, beta=90.0, gamma=90.0)""}, {""m.refcode"": ""FUNGAZ"", ""m.name"": ""HKUST-1 (as synthesised)"", ""m.cell_angles"": ""CellAngles(alpha=90.0, beta=90.0, gamma=90.0)""}, {""m.refcode"": ""LUDLED"", ""m.name"": ""HKUST-1"", ""m.cell_angles"": ""CellAngles(alpha=90.0, beta=90.0, gamma=90.0)""}, {""m.refcode"": ""WULJUJ"", ""m.name"": ""HKUST-1 0.56(dideuteroacetylene)"", ""m.cell_angles"": ""CellAngles(alpha=90.0, beta=90.0, gamma=90.0)""}]"
What are the top 5 metals with the highest frequency of use in MOF synthesis?,"MATCH (m:MOF)-[r:has_metal]->(c:Metal) RETURN c.name, count(c) as freq ORDER BY freq DESC LIMIT 5",68,3,"[{""c.name"": ""[Zn]"", ""freq"": 1179}, {""c.name"": ""[Cu]"", ""freq"": 1068}, {""c.name"": ""[Cd]"", ""freq"": 812}, {""c.name"": ""[Co]"", ""freq"": 807}, {""c.name"": ""*"", ""freq"": 424}]"
What is the r_factor of a MOF 'MOF-5'?,"MATCH (m:MOF) WHERE m.name CONTAINS 'MOF-5' RETURN m.refcode, m.name, m.r_factor",35,0,"[{""m.refcode"": ""FAYPUS"", ""m.name"": ""DMOF-5"", ""m.r_factor"": 10.93}, {""m.refcode"": ""LASYOU"", ""m.name"": ""MOF-505"", ""m.r_factor"": 3.61}, {""m.refcode"": ""MIBQAR"", ""m.name"": ""MOF-5"", ""m.r_factor"": 4.88}, {""m.refcode"": ""MIBQAR01"", ""m.name"": ""MOF-5"", ""m.r_factor"": 4.05}, {""m.refcode"": ""MIBQAR02"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.61}, {""m.refcode"": ""MIBQAR03"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.3000000000000003}, {""m.refcode"": ""MIBQAR04"", ""m.name"": ""MOF-5"", ""m.r_factor"": 2.97}, {""m.refcode"": ""MIBQAR05"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.14}, {""m.refcode"": ""MIBQAR06"", ""m.name"": ""MOF-5"", ""m.r_factor"": 2.97}, {""m.refcode"": ""MIBQAR07"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.11}, {""m.refcode"": ""MIBQAR08"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.34}, {""m.refcode"": ""MIBQAR09"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.15}, {""m.refcode"": ""MIBQAR10"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.14}, {""m.refcode"": ""MIBQAR11"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.13}, {""m.refcode"": ""MIBQAR12"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.13}, {""m.refcode"": ""MIBQAR13"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.26}, {""m.refcode"": ""MIBQAR14"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.21}, {""m.refcode"": ""MIBQAR15"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.09}, {""m.refcode"": ""MIBQAR16"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.6}, {""m.refcode"": ""MIBQAR17"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.28}, {""m.refcode"": ""MIBQAR18"", ""m.name"": ""MOF-5"", ""m.r_factor"": 6.9}, {""m.refcode"": ""MIBQAR19"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.1}, {""m.refcode"": ""MIBQAR20"", ""m.name"": ""MOF-5"", ""m.r_factor"": 3.46}, {""m.refcode"": ""OFEDAH"", ""m.name"": ""GR-MOF-5"", ""m.r_factor"": 4.45}, {""m.refcode"": ""OMUKUE"", ""m.name"": ""TPMOF-5"", ""m.r_factor"": 5.0600000000000005}, {""m.refcode"": ""OTECEX"", ""m.name"": ""\u0394-MOF-520 unknown solvate"", ""m.r_factor"": 3.39}, {""m.refcode"": ""OTECUN"", ""m.name"": ""\u039b-MOF-520 trimesate unknown solvate"", ""m.r_factor"": 6.2}, {""m.refcode"": ""OTEDEY"", ""m.name"": ""\u039b-MOF-520 3-(t-butoxycarbonylamino)propan-1,2-diolato unknown solvate"", ""m.r_factor"": 5.23}, {""m.refcode"": ""OTEDOI"", ""m.name"": ""\u039b-MOF-520 unknown solvate"", ""m.r_factor"": 2.9}, {""m.refcode"": ""OTEDUO"", ""m.name"": ""\u039b-MOF-520 methanolate unknown solvate"", ""m.r_factor"": 3.34}, {""m.refcode"": ""QEFWUV"", ""m.name"": ""MOF-545"", ""m.r_factor"": 7.58}, {""m.refcode"": ""QOXQEC"", ""m.name"": ""-MOF-520-24"", ""m.r_factor"": 3.54}, {""m.refcode"": ""QOXQIG"", ""m.name"": ""-MOF-520-25"", ""m.r_factor"": 4.76}, {""m.refcode"": ""QOXQUS"", ""m.name"": ""-MOF-520-27"", ""m.r_factor"": 4.91}, {""m.refcode"": ""QOXRAZ"", ""m.name"": ""-MOF-520-28"", ""m.r_factor"": 5.5600000000000005}, {""m.refcode"": ""QOXRIH"", ""m.name"": ""-MOF-520-31-activated"", ""m.r_factor"": 5.32}, {""m.refcode"": ""QOXRON"", ""m.name"": ""-MOF-520-S-32"", ""m.r_factor"": 7.95}, {""m.refcode"": ""QOXSAA"", ""m.name"": ""-MOF-520-22"", ""m.r_factor"": 2.54}, {""m.refcode"": ""QOXSOO"", ""m.name"": ""-MOF-520-R-32"", ""m.r_factor"": 8.73}, {""m.refcode"": ""QOXSUU"", ""m.name"": ""\u0394-MOF-520-17"", ""m.r_factor"": 4.94}, {""m.refcode"": ""QOXTOP"", ""m.name"": ""\u0394-MOF-520-21"", ""m.r_factor"": 6.54}, {""m.refcode"": ""QOXVEH"", ""m.name"": ""-MOF-520 N,N-dimethylformamide solvate"", ""m.r_factor"": 6.82}, {""m.refcode"": ""RIXPOF"", ""m.name"": ""MOF-519"", ""m.r_factor"": 11.12}, {""m.refcode"": ""RUVKAV"", ""m.name"": ""catena-[(\u03bc8-5,5'-Buta-1,3-diyne-1,4-diyldibenzene-1,3-dicarboxylato)-diaqua-di-copper(ii) dimethylformamide solvate trihydrate]|MOF-505"", ""m.r_factor"": 6.2700000000000005}, {""m.refcode"": ""SAHYIK"", ""m.name"": ""MOF-5|Teaching Subset: MOFs"", ""m.r_factor"": 10.99}, {""m.refcode"": ""SUFJEK"", ""m.name"": ""PMOF-55"", ""m.r_factor"": 4.17}, {""m.refcode"": ""TIHROU"", ""m.name"": ""MOF-591"", ""m.r_factor"": 8.71}, {""m.refcode"": ""TIHRUA"", ""m.name"": ""MOF-592"", ""m.r_factor"": 5.66}, {""m.refcode"": ""TIHTUC"", ""m.name"": ""MOF-590"", ""m.r_factor"": 6.03}, {""m.refcode"": ""VUSKEA01"", ""m.name"": ""MOF-5"", ""m.r_factor"": 5.86}]"
How would you characterize the color of MOF 'MOF-5'?,"MATCH (m:MOF) WHERE m.name CONTAINS 'MOF-5' RETURN m.refcode, m.name, m.color",26,3,"[{""m.refcode"": ""FAYPUS"", ""m.name"": ""DMOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""LASYOU"", ""m.name"": ""MOF-505"", ""m.color"": ""blue""}, {""m.refcode"": ""MIBQAR"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR01"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR02"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR03"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR04"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR05"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR06"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR07"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR08"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR09"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR10"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR11"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR12"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR13"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR14"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR15"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR16"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR17"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR18"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR19"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""MIBQAR20"", ""m.name"": ""MOF-5"", ""m.color"": ""colorless""}, {""m.refcode"": ""OFEDAH"", ""m.name"": ""GR-MOF-5"", ""m.color"": ""light green""}, {""m.refcode"": ""OMUKUE"", ""m.name"": ""TPMOF-5"", ""m.color"": ""yellow""}, {""m.refcode"": ""OTECEX"", ""m.name"": ""\u0394-MOF-520 unknown solvate"", ""m.color"": ""colorless""}, {""m.refcode"": ""OTECUN"", ""m.name"": ""\u039b-MOF-520 trimesate unknown solvate"", ""m.color"": ""colorless""}, {""m.refcode"": ""OTEDEY"", ""m.name"": ""\u039b-MOF-520 3-(t-butoxycarbonylamino)propan-1,2-diolato unknown solvate"", ""m.color"": ""colorless""}, {""m.refcode"": ""OTEDOI"", ""m.name"": ""\u039b-MOF-520 unknown solvate"", ""m.color"": ""colorless""}, {""m.refcode"": ""OTEDUO"", ""m.name"": ""\u039b-MOF-520 methanolate unknown solvate"", ""m.color"": ""colorless""}, {""m.refcode"": ""QEFWUV"", ""m.name"": ""MOF-545"", ""m.color"": ""red brown""}, {""m.refcode"": ""QOXQEC"", ""m.name"": ""-MOF-520-24"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXQIG"", ""m.name"": ""-MOF-520-25"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXQUS"", ""m.name"": ""-MOF-520-27"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXRAZ"", ""m.name"": ""-MOF-520-28"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXRIH"", ""m.name"": ""-MOF-520-31-activated"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXRON"", ""m.name"": ""-MOF-520-S-32"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXSAA"", ""m.name"": ""-MOF-520-22"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXSOO"", ""m.name"": ""-MOF-520-R-32"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXSUU"", ""m.name"": ""\u0394-MOF-520-17"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXTOP"", ""m.name"": ""\u0394-MOF-520-21"", ""m.color"": ""colorless""}, {""m.refcode"": ""QOXVEH"", ""m.name"": ""-MOF-520 N,N-dimethylformamide solvate"", ""m.color"": ""colorless""}, {""m.refcode"": ""RIXPOF"", ""m.name"": ""MOF-519"", ""m.color"": ""colorless""}, {""m.refcode"": ""RUVKAV"", ""m.name"": ""catena-[(\u03bc8-5,5'-Buta-1,3-diyne-1,4-diyldibenzene-1,3-dicarboxylato)-diaqua-di-copper(ii) dimethylformamide solvate trihydrate]|MOF-505"", ""m.color"": ""green""}, {""m.refcode"": ""SAHYIK"", ""m.name"": ""MOF-5|Teaching Subset: MOFs"", ""m.color"": """"}, {""m.refcode"": ""SUFJEK"", ""m.name"": ""PMOF-55"", ""m.color"": ""colorless""}, {""m.refcode"": ""TIHROU"", ""m.name"": ""MOF-591"", ""m.color"": ""light yellow""}, {""m.refcode"": ""TIHRUA"", ""m.name"": ""MOF-592"", ""m.color"": ""light yellow""}, {""m.refcode"": ""TIHTUC"", ""m.name"": ""MOF-590"", ""m.color"": """"}, {""m.refcode"": ""VUSKEA01"", ""m.name"": ""MOF-5"", ""m.color"": """"}]"
What is the molecular formula of the metal precursor used in the synthesis of MOF-3?,MATCH (m:MOF)-[:has_publication]->(:Publication)<-[:has_publication]-(s:Synthesis_Procedure)-[:has_metal_precursor]->(mp:Synthesis_Metal_Precursor) WHERE m.name CONTAINS 'MOF-3' RETURN DISTINCT mp.formula,82,2,"[{""mp.formula"": """"}, {""mp.formula"": ""PrCl3$7H2O""}, {""mp.formula"": ""ZnN2O6$6H2O""}, {""mp.formula"": ""CdN2O6$4H2O""}]"
What is the name of the chemical compound used as the ligand in the synthesis of MOFs 'MOF-3'?,"MATCH (m:MOF)-[:has_organicLinker]->(l:Organic_Linker) WHERE m.name CONTAINS 'MOF-3' RETURN m.refcode, m.name, l.name",54,1,"[{""m.refcode"": ""CEFNOT"", ""m.name"": ""she-MOF-3"", ""l.name"": ""[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)c1c(c2ccc(cc2)C#Cc2ccc(cc2)C(=O)[O-])c(c2ccc(cc2)C#Cc2ccc(cc2)C(=O)[O-])c(c(c1c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-])c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-]""}, {""m.refcode"": ""FAYPIG"", ""m.name"": ""DMOF-3"", ""l.name"": ""CC1=CC2=NN=NC2=C[CH]1""}, {""m.refcode"": ""FEYQIK"", ""m.name"": ""GWMOF-3"", ""l.name"": ""[O-]C(=O)CCCCC(=O)[O-]""}, {""m.refcode"": ""HOLQAC"", ""m.name"": ""\u03b1-IRMOF-3-AMPh"", ""l.name"": ""O=C(c1ccccc1)Nc1cc(ccc1C(=O)[O-])C(=O)[O-]""}, {""m.refcode"": ""KITVEQ"", ""m.name"": ""MOF-3"", ""l.name"": ""[O-]C(=O)[C]1[CH][C](OC[C]2C=Cc3c4[C]2C=CC25c4c(cc3)[CH]C5[CH]2)[CH]C(=C1)C(=O)[O-]""}, {""m.refcode"": ""LAJKUE"", ""m.name"": ""CD-MOF-3"", ""l.name"": ""[O]CC1OC2OC3C(C[O])OC(C(C3[O])[O])OC3C(C[O])OC(C(C3[O])[O])OC3C(C[O])OC(C(C3[O])[O])OC3C(OC(OC4C(OC(OC5C(OC(OC6C(OC(OC1C(C2[O])[O])C([O])C6[O])C[O])C([O])C5[O])C[O])C([O])C4[O])C[O])C(C3[O])[O])C[O]""}, {""m.refcode"": ""MIFGEQ"", ""m.name"": ""TMOF-3"", ""l.name"": ""[O]S(Cc1cc(CS([O])([O])[O])c(cc1CS([O])([O])[O])CS([O])([O])[O])([O])[O]""}, {""m.refcode"": ""PIKYAM"", ""m.name"": ""JUST-3|LMOF-311"", ""l.name"": ""O=CN(C)C""}]"
Can you specify the dimensions of the edges of the unit cell of MOF 'MOF-3'?,"MATCH (m:MOF) WHERE m.name CONTAINS 'MOF-3' RETURN m.refcode, m.name, m.cell_lengths",22,2,"[{""m.refcode"": ""CEFNOT"", ""m.name"": ""she-MOF-3"", ""m.cell_lengths"": ""CellLengths(a=46.744, b=46.744, c=46.744)""}, {""m.refcode"": ""FAYPIG"", ""m.name"": ""DMOF-3"", ""m.cell_lengths"": ""CellLengths(a=19.562, b=20.85, c=23.573)""}, {""m.refcode"": ""FEYQIK"", ""m.name"": ""GWMOF-3"", ""m.cell_lengths"": ""CellLengths(a=8.655000000000001, b=9.9366, c=11.717)""}, {""m.refcode"": ""HOLQAC"", ""m.name"": ""\u03b1-IRMOF-3-AMPh"", ""m.cell_lengths"": ""CellLengths(a=25.5775, b=25.5775, c=25.5775)""}, {""m.refcode"": ""KITVEQ"", ""m.name"": ""MOF-3"", ""m.cell_lengths"": ""CellLengths(a=15.749, b=16.425, c=15.725)""}, {""m.refcode"": ""LAJKUE"", ""m.name"": ""CD-MOF-3"", ""m.cell_lengths"": ""CellLengths(a=30.868000000000002, b=30.868000000000002, c=30.868000000000002)""}, {""m.refcode"": ""MIFGEQ"", ""m.name"": ""TMOF-3"", ""m.cell_lengths"": ""CellLengths(a=22.2892, b=22.2235, c=15.7911)""}, {""m.refcode"": ""PIKYAM"", ""m.name"": ""JUST-3|LMOF-311"", ""m.cell_lengths"": ""CellLengths(a=17.133, b=42.533, c=33.899300000000004)""}]"
What is the last step in the synthesis procedure of MOFs 'MOF-3' called?,MATCH (m:MOF)-[:has_publication]->(:Publication)<-[:has_publication]-(s:Synthesis_Procedure)-[:has_operation]->(o:Synthesis_Operation) WHERE m.name CONTAINS 'MOF-3' RETURN o.name ORDER BY o.order DESC LIMIT 1,125,1,"[{""o.name"": ""prepare""}]"
Can you provide the deposition number assigned to MOF 'MOF-5' in the database?,"MATCH (m:MOF) WHERE m.name CONTAINS 'MOF-5' RETURN m.refcode, m.name, m.deposition_number",29,1,"[{""m.refcode"": ""FAYPUS"", ""m.name"": ""DMOF-5"", ""m.deposition_number"": 854816.0}, {""m.refcode"": ""LASYOU"", ""m.name"": ""MOF-505"", ""m.deposition_number"": 257470.0}, {""m.refcode"": ""MIBQAR"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938392.0}, {""m.refcode"": ""MIBQAR01"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938393.0}, {""m.refcode"": ""MIBQAR02"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938394.0}, {""m.refcode"": ""MIBQAR03"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938395.0}, {""m.refcode"": ""MIBQAR04"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938396.0}, {""m.refcode"": ""MIBQAR05"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938397.0}, {""m.refcode"": ""MIBQAR06"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938398.0}, {""m.refcode"": ""MIBQAR07"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938399.0}, {""m.refcode"": ""MIBQAR08"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938400.0}, {""m.refcode"": ""MIBQAR09"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938401.0}, {""m.refcode"": ""MIBQAR10"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938402.0}, {""m.refcode"": ""MIBQAR11"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938403.0}, {""m.refcode"": ""MIBQAR12"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938404.0}, {""m.refcode"": ""MIBQAR13"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938405.0}, {""m.refcode"": ""MIBQAR14"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938406.0}, {""m.refcode"": ""MIBQAR15"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938407.0}, {""m.refcode"": ""MIBQAR16"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938408.0}, {""m.refcode"": ""MIBQAR17"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938409.0}, {""m.refcode"": ""MIBQAR18"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938410.0}, {""m.refcode"": ""MIBQAR19"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938411.0}, {""m.refcode"": ""MIBQAR20"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 938412.0}, {""m.refcode"": ""OFEDAH"", ""m.name"": ""GR-MOF-5"", ""m.deposition_number"": 1836115.0}, {""m.refcode"": ""OMUKUE"", ""m.name"": ""TPMOF-5"", ""m.deposition_number"": 1480267.0}, {""m.refcode"": ""OTECEX"", ""m.name"": ""\u0394-MOF-520 unknown solvate"", ""m.deposition_number"": 1488944.0}, {""m.refcode"": ""OTECUN"", ""m.name"": ""\u039b-MOF-520 trimesate unknown solvate"", ""m.deposition_number"": 1488947.0}, {""m.refcode"": ""OTEDEY"", ""m.name"": ""\u039b-MOF-520 3-(t-butoxycarbonylamino)propan-1,2-diolato unknown solvate"", ""m.deposition_number"": 1488949.0}, {""m.refcode"": ""OTEDOI"", ""m.name"": ""\u039b-MOF-520 unknown solvate"", ""m.deposition_number"": 1488951.0}, {""m.refcode"": ""OTEDUO"", ""m.name"": ""\u039b-MOF-520 methanolate unknown solvate"", ""m.deposition_number"": 1488952.0}, {""m.refcode"": ""QEFWUV"", ""m.name"": ""MOF-545"", ""m.deposition_number"": 858640.0}, {""m.refcode"": ""QOXQEC"", ""m.name"": ""-MOF-520-24"", ""m.deposition_number"": 1938269.0}, {""m.refcode"": ""QOXQIG"", ""m.name"": ""-MOF-520-25"", ""m.deposition_number"": 1938270.0}, {""m.refcode"": ""QOXQUS"", ""m.name"": ""-MOF-520-27"", ""m.deposition_number"": 1938272.0}, {""m.refcode"": ""QOXRAZ"", ""m.name"": ""-MOF-520-28"", ""m.deposition_number"": 1938273.0}, {""m.refcode"": ""QOXRIH"", ""m.name"": ""-MOF-520-31-activated"", ""m.deposition_number"": 1938275.0}, {""m.refcode"": ""QOXRON"", ""m.name"": ""-MOF-520-S-32"", ""m.deposition_number"": 1938277.0}, {""m.refcode"": ""QOXSAA"", ""m.name"": ""-MOF-520-22"", ""m.deposition_number"": 1938280.0}, {""m.refcode"": ""QOXSOO"", ""m.name"": ""-MOF-520-R-32"", ""m.deposition_number"": 1938283.0}, {""m.refcode"": ""QOXSUU"", ""m.name"": ""\u0394-MOF-520-17"", ""m.deposition_number"": 1938285.0}, {""m.refcode"": ""QOXTOP"", ""m.name"": ""\u0394-MOF-520-21"", ""m.deposition_number"": 1938289.0}, {""m.refcode"": ""QOXVEH"", ""m.name"": ""-MOF-520 N,N-dimethylformamide solvate"", ""m.deposition_number"": 1938284.0}, {""m.refcode"": ""RIXPOF"", ""m.name"": ""MOF-519"", ""m.deposition_number"": 1003059.0}, {""m.refcode"": ""RUVKAV"", ""m.name"": ""catena-[(\u03bc8-5,5'-Buta-1,3-diyne-1,4-diyldibenzene-1,3-dicarboxylato)-diaqua-di-copper(ii) dimethylformamide solvate trihydrate]|MOF-505"", ""m.deposition_number"": 760800.0}, {""m.refcode"": ""SAHYIK"", ""m.name"": ""MOF-5|Teaching Subset: MOFs"", ""m.deposition_number"": 256965.0}, {""m.refcode"": ""SUFJEK"", ""m.name"": ""PMOF-55"", ""m.deposition_number"": 945491.0}, {""m.refcode"": ""TIHROU"", ""m.name"": ""MOF-591"", ""m.deposition_number"": 1831030.0}, {""m.refcode"": ""TIHRUA"", ""m.name"": ""MOF-592"", ""m.deposition_number"": 1831031.0}, {""m.refcode"": ""TIHTUC"", ""m.name"": ""MOF-590"", ""m.deposition_number"": 1831029.0}, {""m.refcode"": ""VUSKEA01"", ""m.name"": ""MOF-5"", ""m.deposition_number"": 1920366.0}]"
"Among all synthesis procedures associated with 'MOF-3' MOFs, what is the highest temperature employed?",MATCH (m:MOF)-[:has_publication]->(:Publication)<-[:has_publication]-(s:Synthesis_Procedure)-[:has_temperature]->(t:Synthesis_Temperature) WHERE m.name CONTAINS 'MOF-3' RETURN max(t.Value),112,2,"[{""max(t.Value)"": 453.15}]"
